Timestamp,X,Y,Z
20250207151306,418436,-0.157959,-0.230103,0.966064
20250207151307,419440,-0.158081,-0.223511,0.971436
20250207151308,420444,-0.159668,-0.235718,0.960937
20250207151309,421452,-0.156982,-0.231689,0.964355
20250207151310,422456,-0.157471,-0.230591,0.965332
20250207151311,423460,-0.158081,-0.231689,0.963745
20250207151312,424464,-0.157593,-0.230835,0.964844
20250207151313,425468,-0.159180,-0.232666,0.964722
20250207151314,426472,-0.157715,-0.227905,0.967163
20250207151315,427477,-0.158447,-0.229492,0.966064
20250207151316,428481,-0.157959,-0.230469,0.965698
20250207151317,429486,-0.158936,-0.230469,0.965576
20250207151318,430490,-0.159912,-0.234741,0.962158
20250207151319,431494,-0.159912,-0.233887,0.962891
20250207151320,432498,-0.158569,-0.231445,0.962891
20250207151321,433502,-0.157104,-0.229126,0.966797
20250207151322,434506,-0.158447,-0.229126,0.965088
20250207151323,435514,-0.159058,-0.231689,0.962646
20250207151324,436518,-0.156860,-0.229004,0.965332
20250207151325,437523,-0.157959,-0.231201,0.964600
20250207151326,438530,-0.159180,-0.230469,0.964111
20250207151327,439538,-0.158447,-0.229248,0.964355
20250207151328,440546,-0.159424,-0.231689,0.963745
20250207151329,441553,-0.159058,-0.232056,0.962891
20250207151330,442561,-0.157959,-0.227417,0.965576
20250207151331,443565,-0.157471,-0.235840,0.966064
20250207151332,444570,-0.158203,-0.229126,0.965088
20250207151333,445574,-0.158691,-0.230835,0.964355
20250207151334,446578,-0.159180,-0.234009,0.962769
20250207151335,447581,-0.155884,-0.225952,0.968506
20250207151336,448585,-0.157227,-0.224731,0.966675
20250207151337,449589,-0.155640,-0.225342,0.965820
20250207151338,450592,-0.156738,-0.227905,0.965576
20250207151340,451597,-0.159180,-0.223999,0.967285
20250207151341,452600,-0.165405,-0.215454,0.965820
20250207151341,453606,-0.157227,-0.214355,0.968506
20250207151343,454610,-0.160034,-0.225342,0.966309
20250207151344,455618,-0.158691,-0.222778,0.967896
20250207151345,456622,-0.159668,-0.226196,0.966553
20250207151346,457630,-0.156860,-0.212402,0.939941
20250207151347,458637,-0.157715,-0.225952,0.968018
20250207151348,459641,-0.158203,-0.229370,0.965942
20250207151349,460645,-0.156860,-0.230469,0.963013
20250207151350,461649,-0.159546,-0.229858,0.964355
20250207151351,462656,-0.158203,-0.227173,0.966309
20250207151352,463661,-0.158691,-0.231689,0.964233
20250207151353,464665,-0.158081,-0.229004,0.966797
20250207151354,465668,-0.159302,-0.231323,0.964111
20250207151355,466672,-0.157837,-0.228638,0.963379
20250207151356,467675,-0.158936,-0.223389,0.967163
20250207151357,468679,-0.157959,-0.225830,0.966187
20250207151358,469685,-0.161011,-0.231079,0.964111
20250207151359,470689,-0.159180,-0.228027,0.964478
20250207151400,471692,-0.157227,-0.227539,0.966553
20250207151401,472697,-0.157471,-0.223877,0.968018
20250207151402,473701,-0.157593,-0.226074,0.967163
20250207151403,474705,-0.158569,-0.228027,0.965088
20250207151404,475710,-0.162964,-0.233276,0.961060
20250207151405,476715,-0.161255,-0.230103,0.964966
20250207151406,477721,-0.159912,-0.228271,0.964478
20250207151407,478727,-0.158569,-0.226929,0.966675
20250207151408,479733,-0.160889,-0.226807,0.964355
20250207151409,480740,-0.159058,-0.231445,0.962646
20250207151410,481746,-0.155151,-0.217407,0.972046
20250207151411,482750,-0.163208,-0.221436,0.966309
20250207151412,483755,-0.156494,-0.232666,0.965210
20250207151413,484760,-0.158569,-0.227539,0.966187
20250207151414,485764,-0.159424,-0.227417,0.965820
20250207151415,486768,-0.159546,-0.227783,0.965454
20250207151416,487774,-0.158936,-0.226929,0.966309
20250207151417,488779,-0.160645,-0.220825,0.966919
20250207151418,489784,-0.156982,-0.231812,0.965332
20250207151419,490788,-0.159180,-0.230225,0.965698
20250207151420,491793,-0.159058,-0.227295,0.965210
20250207151421,492798,-0.160034,-0.226440,0.965820
20250207151422,493802,-0.152832,-0.238525,0.965332
20250207151423,494806,-0.171631,-0.213745,0.967041
20250207151424,495810,-0.157349,-0.221558,0.968384
20250207151425,496815,-0.159912,-0.231323,0.964966
20250207151426,497819,-0.158936,-0.228760,0.965088
20250207151427,498824,-0.158936,-0.228638,0.965088
20250207151428,499828,-0.159424,-0.228394,0.964966
20250207151429,500832,-0.159180,-0.225830,0.965820
20250207151430,501837,-0.158813,-0.226807,0.964600
20250207151431,502841,-0.159180,-0.226807,0.965210
20250207151432,503845,-0.160034,-0.228516,0.963623
20250207151433,504850,-0.159058,-0.227417,0.965454
20250207151434,505856,-0.166870,-0.255371,0.950439
20250207151435,506862,-0.159302,-0.227905,0.964722
20250207151436,507866,-0.158081,-0.224731,0.967407
20250207151437,508871,-0.159058,-0.228638,0.965332
20250207151438,509878,-0.159302,-0.228638,0.964600
20250207151439,510884,-0.158081,-0.227417,0.965088
20250207151440,511888,-0.159058,-0.226807,0.965576
20250207151441,512895,-0.159302,-0.229492,0.964233
20250207151442,513900,-0.160889,-0.232056,0.961914
20250207151443,514905,-0.158813,-0.227051,0.964966
20250207151444,515912,-0.158569,-0.230225,0.963135
20250207151445,516916,-0.161133,-0.228882,0.963867
20250207151446,517921,-0.181519,-0.201050,0.964233
20250207151447,518925,-0.157471,-0.224609,0.966919
20250207151448,519928,-0.160156,-0.229980,0.964966
20250207151449,520932,-0.159546,-0.228394,0.964355
20250207151450,521936,-0.161987,-0.218994,0.967773
20250207151451,522940,-0.157104,-0.230591,0.964478
20250207151452,523945,-0.160522,-0.233521,0.963623
20250207151453,524949,-0.158813,-0.227417,0.963867
20250207151454,525953,-0.159790,-0.227173,0.965210
20250207151455,526956,-0.159180,-0.225342,0.966064
20250207151456,527960,-0.158325,-0.227661,0.965088
20250207151457,528965,-0.159790,-0.229614,0.964355
20250207151458,529969,-0.159546,-0.230225,0.963501
20250207151459,530974,-0.156494,-0.228882,0.967163
20250207151500,531980,-0.157715,-0.222534,0.968872
20250207151501,532985,-0.157959,-0.226440,0.965454
20250207151502,533989,-0.158691,-0.226685,0.965210
20250207151503,534995,-0.155762,-0.232300,0.962646
20250207151504,535998,-0.159790,-0.227661,0.964722
20250207151505,537005,-0.157715,-0.223389,0.966553
20250207151506,538009,-0.158691,-0.227661,0.964478
20250207151507,539013,-0.157471,-0.228149,0.964722
20250207151508,540018,-0.157227,-0.227417,0.964233
20250207151509,541026,-0.160889,-0.224243,0.965698
20250207151510,542030,-0.158203,-0.226685,0.967285
20250207151511,543035,-0.158447,-0.230713,0.965698
20250207151512,544039,-0.158325,-0.224121,0.966675
20250207151513,545046,-0.159058,-0.226929,0.965942
20250207151514,546052,-0.160034,-0.227539,0.965454
20250207151515,547059,-0.158936,-0.226196,0.966675
20250207151516,548063,-0.159302,-0.229370,0.966064
20250207151517,549070,-0.159180,-0.228516,0.967407
20250207151518,550074,-0.159668,-0.226685,0.965088
20250207151519,551078,-0.159302,-0.229492,0.964844
20250207151520,552083,-0.159180,-0.228394,0.966309
20250207151521,553086,-0.159302,-0.226807,0.965210
20250207151522,554090,-0.160400,-0.228149,0.966309
20250207151523,555095,-0.164917,-0.239990,0.953857
20250207151524,556099,-0.156616,-0.221191,0.968750
20250207151525,557104,-0.157715,-0.220825,0.968140
20250207151526,558109,-0.158813,-0.227051,0.964844
20250207151527,559112,-0.164551,-0.217285,0.967896
20250207151528,560118,-0.147339,-0.238525,0.966187
20250207151529,561121,-0.155762,-0.234863,0.964844
20250207151530,562126,-0.158936,-0.226318,0.966797
20250207151531,563131,-0.158936,-0.225586,0.967896
20250207151532,564136,-0.159302,-0.226440,0.966919
20250207151533,565141,-0.158813,-0.227173,0.963989
20250207151534,566145,-0.159912,-0.228271,0.968140
20250207151535,567150,-0.159058,-0.223267,0.968384
20250207151536,568153,-0.159546,-0.225220,0.966431
20250207151537,569160,-0.159790,-0.225586,0.967041
20250207151538,570165,-0.157959,-0.227905,0.963135
20250207151539,571169,-0.166016,-0.242920,0.956299
20250207151540,572172,-0.158691,-0.211426,0.970215
20250207151541,573177,-0.159302,-0.226074,0.967163
20250207151542,574182,-0.156250,-0.248779,0.958618
20250207151543,575185,-0.157227,-0.231812,0.965820
20250207151544,576190,-0.153687,-0.243286,0.961792
20250207151545,577194,-0.158569,-0.209229,0.972168
20250207151546,578198,-0.157715,-0.227783,0.966187
20250207151547,579201,-0.156494,-0.223511,0.967651
20250207151548,580205,-0.158936,-0.226440,0.965454
20250207151549,581209,-0.158081,-0.224487,0.966797
20250207151550,582215,-0.159790,-0.229126,0.965088
20250207151551,583220,-0.156250,-0.226440,0.965332
20250207151552,584223,-0.159668,-0.228149,0.962402
20250207151553,585227,-0.159180,-0.225708,0.965942
20250207151554,586232,-0.159302,-0.229736,0.965820
20250207151555,587235,-0.158936,-0.227173,0.965454
20250207151556,588239,-0.158691,-0.225708,0.966675
20250207151557,589243,-0.157593,-0.223877,0.967163
20250207151558,590248,-0.158081,-0.227295,0.965332
20250207151559,591253,-0.162598,-0.213379,0.970459
20250207151600,592257,-0.141479,-0.255127,0.959229
20250207151601,593260,-0.157349,-0.230469,0.964966
20250207151602,594264,-0.159302,-0.222656,0.967773
20250207151603,595267,-0.169678,-0.247681,0.950928
20250207151604,596273,-0.089600,-0.286499,0.941650
20250207151605,597281,-0.155884,-0.232056,0.965942
20250207151606,598286,-0.160034,-0.224609,0.966675
20250207151607,599290,-0.158447,-0.224365,0.966187
20250207151608,600294,-0.158569,-0.228027,0.966675
20250207151609,601300,-0.159546,-0.224243,0.966431
20250207151610,602303,-0.160278,-0.221558,0.965698
20250207151611,603307,-0.149292,-0.228882,0.967407
20250207151612,604311,-0.159912,-0.222290,0.966675
20250207151613,605315,-0.158325,-0.223877,0.967163
20250207151614,606318,-0.159912,-0.225830,0.964355
20250207151615,607322,-0.153687,-0.212280,0.973022
20250207151616,608325,-0.167114,-0.228882,0.961182
20250207151617,609329,-0.162964,-0.219360,0.967529
20250207151618,610334,-0.161987,-0.213379,0.968994
20250207151619,611339,-0.157959,-0.234985,0.962891
20250207151620,612343,-0.161133,-0.225830,0.966675
20250207151621,613348,-0.158691,-0.225464,0.965698
20250207151622,614353,-0.212891,-0.311523,0.848511
20250207151623,615358,-0.160767,-0.218262,0.967163
20250207151624,616364,-0.163696,-0.217651,0.966187
20250207151625,617368,-0.159302,-0.223267,0.966797
